Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,3206.30,3244.50,3262.40,3320.40,3348.30,3368.30,3403.10,3416.00,3457.40,3496.30,3503.70,3492.80,3609.50,3569.80
Wind,73.30,114.90,148.30,166.80,171.00,170.50,174.70,181.10,207.50,258.60,327.50,402.20,459.90,513.60
Solar,1.60,1.80,1.90,2.10,2.60,4.20,7.60,15.00,29.00,53.80,67.50,80.60,94.20,109.10
Solid biofuels,146.10,165.70,218.80,272.00,285.20,293.50,307.10,315.30,320.40,318.60,295.80,306.70,317.40,317.50
All other renewables,18.50,43.90,59.60,77.20,72.50,74.30,76.70,72.00,75.80,75.50,77.00,80.50,85.90,81.50
Total renewables,3445.80,3570.80,3691.00,3838.50,3879.60,3910.80,3969.20,3999.50,4090.10,4202.80,4271.50,4362.90,4566.90,4591.50
Total energy,5591.50,5770.70,5874.40,5929.10,5965.30,5769.10,6050.70,6059.30,6148.90,6179.30,6095.20,6175.80,6227.90,6361.90
RES-E [%],61.62%,61.88%,62.83%,64.74%,65.04%,67.79%,65.60%,66.01%,66.52%,68.01%,70.08%,70.64%,73.33%,72.17%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
41.868,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
11.63,,,,,,,,,,,,,,
39.68,,,,,,,,,,,,,,
