Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
Wind,0.9,4.3,6.7,8.4,12.4,17.5,21.2,29.6,43,48.6,50.2,55.8,56.5,59.5
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solid biofuels,2,1.8,2.2,1.7,2.4,26.3,62.8,65.9,84.7,55.5,62.9,61,72.2,85.6
All other renewables,0.6,1.2,1.2,1.2,0.8,0.6,0.9,1.3,1.4,1.7,2.3,4.3,3.9,3.6
Total renewables,3.4,7.3,10.2,11.2,15.6,44.4,84.9,96.8,129.1,105.7,115.3,121.2,132.6,148.9
Total energy,731.7,739.2,772.3,840.1,828.9,761.9,834.9,802.3,836.4,832.9,833.4,814.5,871.8,874.4
RES-E [%],0.47%,0.99%,1.32%,1.34%,1.88%,5.82%,10.16%,12.06%,15.43%,12.69%,13.84%,14.88%,15.21%,17.03%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
41.868,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
11.63,,,,,,,,,,,,,,
39.68,,,,,,,,,,,,,,
