Energy,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hydro,304.60,322.60,339.90,342.70,350.30,367.40,387.80,382.30,384.30,396.80,413.30,424.90,443.20,448.60
Wind,100.20,113.30,144.20,179.40,201.10,229.60,249.70,288.50,332.60,348.50,357.00,386.60,426.80,475.90
Solar,0.10,0.10,0.10,0.10,0.50,4.30,13.60,52.50,145.70,313.70,326.00,335.30,337.90,343.20
Solid biofuels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.40,0.80
All other renewables,10.70,10.40,9.80,15.80,16.50,18.70,16.30,17.80,17.60,18.60,18.90,19.80,23.20,25.80
Total renewables,415.60,446.30,494.00,538.00,568.40,620.00,667.40,741.00,880.20,1077.60,1115.20,1166.80,1231.50,1294.30
Total energy,5299.50,5434.80,5535.80,5766.60,5892.10,5628.60,5423.30,5365.80,5378.80,5073.20,5087.00,5282.00,5435.30,5288.30
RES-E [%],7.84%,8.21%,8.92%,9.33%,9.65%,11.02%,12.31%,13.81%,16.36%,21.24%,21.92%,22.09%,22.66%,24.48%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
41.868,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
11.63,,,,,,,,,,,,,,
39.68,,,,,,,,,,,,,,
